"","chromosome_name","start_position","end_position","hgnc_symbol"
"108","2",87700984,87738105,"ANAPC1P4"
"109","2",87980714,87992858,"ANAPC1P5"
"110","1",212992182,213015867,"ANGEL2"
"111","1",178849535,178871077,"ANGPTL1"
"112","1",62597520,62606313,"ANGPTL3"
"113","1",11189355,11195981,"ANGPTL7"
"114","2",81194337,81201184,"ANKRD11P1"
"115","1",70258999,70354734,"ANKRD13C"
"116","2",94791103,94857282,"ANKRD20A8P"
"117","2",96824526,96857934,"ANKRD23"
"118","1",145959441,145964575,"ANKRD34A"
"119","1",145866560,145885866,"ANKRD35"
"120","2",97113153,97264521,"ANKRD36"
"121","2",97492663,97589877,"ANKRD36B"
"122","1",168245565,168247343,"ANKRD36BP1"
"123","2",88782712,88805403,"ANKRD36BP2"
"124","2",95836919,95991831,"ANKRD36C"
"125","2",96836611,96858016,"ANKRD39"
"126","1",173608336,173669851,"ANKRD45"
"127","2",70978380,70985499,"ANKRD53"
"128","1",1418420,1421769,"ANKRD65"
"129","1",150218417,150236156,"ANP32E"
"130","2",69013176,69249327,"ANTXR1"
"131","2",69644425,69827112,"ANXA4"
"132","1",150982249,150995634,"ANXA9"
"133","1",113894194,113905201,"AP4B1"
"134","1",159587826,159588865,"APCS"
"135","1",150265399,150269580,"APH1A"
"136","2",68467572,68655862,"APLF"
"137","1",161222292,161223631,"APOA2"
"138","2",21001429,21044073,"APOB"
"139","1",183646275,183653316,"APOBEC4"
"140","1",154321090,154325325,"AQP10"
"141","1",228082708,228099212,"ARF1"
"142","2",68679601,68826833,"ARHGAP25"
"143","1",94148988,94275068,"ARHGAP29"
"144","1",161046946,161069970,"ARHGAP30"
"145","1",17539698,17697874,"ARHGEF10L"
"146","1",156934840,157045742,"ARHGEF11"
"147","1",3454665,3481113,"ARHGEF16"
"148","1",16197854,16212652,"ARHGEF19"
"149","1",155946851,156007070,"ARHGEF2"
"150","2",38889875,38975454,"ARHGEF33"
"151","1",26693236,26782104,"ARID1A"
"152","1",235131634,235328219,"ARID4B"
"153","2",96536743,96552634,"ARID5A"
"154","2",37148530,37149304,"ARL14EPP1"
"155","1",68049360,68049745,"ARL5AP3"
"156","1",202133404,202144743,"ARL8A"
"157","1",44674692,44725591,"ARMH1"
"158","1",150809713,150876708,"ARNT"
"159","1",183620846,183635783,"ARPC5"
"160","1",43933320,43937240,"ARTN"
"161","1",230978981,231000733,"ARV1"
"162","2",9206765,9405683,"ASAP2"
"163","CHR_HSCHR1_4_CTG3",23436027,23492032,"ASAP3"
"164","1",23428563,23484568,"ASAP3"
"165","1",75918873,75932404,"ASB17"
"166","2",53532672,53860160,"ASB3"
"167","1",201113943,201127184,"ASCL5"
"168","1",155335268,155563162,"ASH1L"
"169","1",197084121,197146694,"ASPM"
"170","2",69960089,69961631,"ASPRV1"
"171","2",38810432,38811654,"ASS1P2"
"172","2",96122818,96138502,"ASTL"
"173","1",176857302,177164973,"ASTN1"
"174","2",25733753,25878487,"ASXL2"
"175","2",23748664,23927123,"ATAD2B"
"176","1",1512162,1534685,"ATAD3A"
"177","1",1471765,1497848,"ATAD3B"
"178","1",1449689,1470163,"ATAD3C"
"179","1",212565334,212620777,"ATF3"
"180","1",161766298,161977574,"ATF6"
"181","1",62784132,62865516,"ATG4C"
"182","2",38293954,38377285,"ATL2"
"183","2",85751344,85791383,"ATOH8"
"184","1",16985958,17011928,"ATP13A2"
"185","1",116372668,116410261,"ATP1A1"
"186","1",160115759,160143591,"ATP1A2"
"187","1",160151586,160186980,"ATP1A4"
"188","1",169105697,169310992,"ATP1B1"
"189","1",203626832,203744081,"ATP2B4"
"190","2",98206151,98207724,"ATP5F1BP1"
"191","CHR_HSCHR1_8_CTG3",28236109,28246906,"ATP5IF1"
"192","1",28236109,28246906,"ATP5IF1"
"193","1",111448864,111462773,"ATP5PB"
"194","1",43974487,43978295,"ATP6V0B"
"195","1",42952202,42952641,"ATP6V0CP4"
"196","1",47550196,47550753,"ATP6V0E1P4"
"197","2",70935900,70965431,"ATP6V1B1"
"198","2",10721100,10785110,"ATP6V1C2"
"199","2",46490750,46542577,"ATP6V1E2"
"200","CHR_HSCHR1_3_CTG31",198534710,198552432,"ATP6V1G3"
"201","1",198523222,198540945,"ATP6V1G3"
"202","1",154325525,154351304,"ATP8B2"
"203","1",46632737,46673867,"ATPAF1"
"204","2",27212041,27217178,"ATRAID"
"205","1",109483479,109492804,"ATXN7L2"
"206","1",25831913,25859458,"AUNIP"
"207","2",74526645,74529760,"AUP1"
"208","1",1373730,1375207,"AURKAIP1"
"209","1",206106936,206117699,"AVPR1B"
"210","1",179365720,179554735,"AXDND1"
"211","1",33081104,33123492,"AZIN2"
"212","CHR_HSCHR1_5_CTG32_1",235450981,235508243,"B3GALNT2"
"213","1",235447190,235504452,"B3GALNT2"
"214","1",193178730,193186613,"B3GALT2"
"215","1",1232237,1235041,"B3GALT6"
"216","2",62196115,62224731,"B3GNT2"
"217","1",43978943,43991170,"B4GALT2"
"218","1",161171310,161177968,"B4GALT3"
"219","2",27889941,28338901,"BABAM2"
"220","1",90711539,90717302,"BARHL2"
"221","1",212686417,212699840,"BATF3"
"222","1",156641390,156659532,"BCAN"
"223","1",93561741,93847150,"BCAR3"
"224","1",114567557,114581629,"BCAS2"
"225","1",85265776,85276632,"BCL10"
"226","2",60450520,60554467,"BCL11A"
"227","1",113876816,113887581,"BCL2L15"
"228","1",147541501,147626216,"BCL9"
"229","2",47335315,47335514,"BCYRN1"
"230","1",241957767,241959062,"BECN2"
"231","1",48727519,48776969,"BEND5"
"232","1",44783585,44788170,"BEST4"
"233","1",156242184,156243317,"BGLAP"
"234","2",32357023,32619571,"BIRC6"
"235","1",169367970,169396540,"BLZF1"
"236","2",68860909,68871397,"BMP10"
"237","1",39491636,39529869,"BMP8A"
"238","1",39757182,39788865,"BMP8B"
"239","1",151036321,151047720,"BNIPL"
"240","1",149887890,149900798,"BOLA1"
"241","2",74135400,74147912,"BOLA3"
"242","1",220057482,220090462,"BPNT1"
"243","CHR_HG1832_PATCH",210462345,210463012,"BPNT2P1"
"244","1",210462345,210463012,"BPNT2P1"
"245","1",91949343,92014426,"BRDT"
"246","1",177170958,177282422,"BRINP2"
"247","1",190097658,190478404,"BRINP3"
"248","1",222712553,222735196,"BROX"
"249","1",32364633,32394731,"BSDC1"
"250","1",54998933,55017172,"BSND"
"251","1",44808523,44815585,"BTBD19"
"252","1",92080305,92184725,"BTBD8"
"253","1",52056199,52090716,"BTF3L4"
"254","1",203305491,203309602,"BTG2"
"255","2",68041130,68110948,"C1D"
"256","2",43675151,43676429,"C1GALT1C1L"
"257","1",244352635,244389663,"C1orf100"
"258","1",172420685,172468831,"C1orf105"
"259","1",37681570,37692249,"C1orf109"
"260","1",169662007,169854080,"C1orf112"
"261","1",220690363,220699153,"C1orf115"
"262","1",207018522,207032756,"C1orf116"
"263","1",37806979,37809454,"C1orf122"
"264","1",10946471,10982076,"C1orf127"
"265","1",231223763,231241187,"C1orf131"
"266","1",67092165,67231853,"C1orf141"
"267","1",92217915,92245813,"C1orf146"
"268","1",1081818,1116361,"C1orf159"
"269","1",111473792,111478512,"C1orf162"
"270","1",11761787,11789585,"C1orf167"
"271","1",3889125,3900293,"C1orf174"
"272","1",51102221,51148086,"C1orf185"
"273","1",230837119,230869589,"C1orf198"
"274","1",184387029,184629019,"C1orf21"
"275","1",43281877,43285617,"C1orf210"
"276","1",35713877,35718894,"C1orf216"
"277","1",178542752,178548889,"C1orf220"
"278","1",162378841,162386812,"C1orf226"
"279","1",26164101,26168963,"C1orf232"
"280","1",228100726,228105411,"C1orf35"
"281","1",154206696,154220637,"C1orf43"
"282","1",42767245,42779491,"C1orf50"
"283","1",85249953,85259672,"C1orf52"
"284","1",197902630,197907367,"C1orf53"
"285","1",150268200,150280916,"C1orf54"
"286","1",151047751,151051986,"C1orf56"
"287","1",152719522,152720470,"C1orf68"
"288","1",209779208,209784559,"C1orf74"
"289","1",59987269,60073770,"C1orf87"
"290","1",34166883,34219131,"C1orf94"
"291","1",22635077,22639678,"C1QA"
"292","1",22652762,22661637,"C1QB"
"293","1",22643014,22648110,"C1QC"
"294","1",1242446,1246722,"C1QTNF12"
"295","1",151837818,151840557,"C2CD4D"
"296","2",99141707,99151669,"C2orf15"
"297","2",27537386,27582722,"C2orf16"
"298","2",70149885,70248615,"C2orf42"
"299","2",11133128,11151317,"C2orf50"
"300","2",85605254,85612066,"C2orf68"
"301","2",54330034,54383742,"C2orf73"
"302","2",61145068,61164828,"C2orf74"
"303","2",73784183,73817148,"C2orf78"
"304","2",74414176,74421619,"C2orf81"
"305","2",97664217,97703066,"C2orf92"
"306","1",207104233,207144972,"C4BPA"
"307","1",207165496,207183910,"C4BPAP1"
"308","1",207225798,207229202,"C4BPAP2"
"309","1",207088860,207099993,"C4BPB"
"310","1",56854768,56918223,"C8A"
"311","1",56929207,56974383,"C8B"
"312","1",150257251,150265078,"CA14"
"313","1",8945867,8975092,"CA6"
"314","1",64470129,64693058,"CACHD1"
"315","1",181317690,181813262,"CACNA1E"
"316","1",201039512,201112451,"CACNA1S"
"317","1",174999163,175012027,"CACYBP"
"318","2",27217369,27243943,"CAD"
"319","1",159171609,159203313,"CADM3"
"320","2",47160084,47176921,"CALM2"
"321","1",1915108,1917296,"CALML6"
"322","1",209583714,209613939,"CAMK1G"
"323","1",20482391,20486210,"CAMK2N1"
"324","2",44361947,44772592,"CAMKMT"
"325","1",200738893,200860704,"CAMSAP2"
"326","1",6785454,7769706,"CAMTA1"
"327","1",40040233,40072649,"CAP1"
"328","2",85394753,85418432,"CAPG"
"329","2",30722771,30820542,"CAPN13"
"330","2",31173056,31233858,"CAPN14"
"331","1",223701593,223776018,"CAPN2"
"332","1",223538007,223665723,"CAPN8"
"333","1",230747384,230802003,"CAPN9"
"334","1",89394033,89394665,"CAPNS1P1"
"335","1",112619805,112671616,"CAPZA1"
"336","1",19338775,19485539,"CAPZB"
"337","1",70660657,70661265,"CASP3P1"
"338","1",15490832,15526534,"CASP9"
"339","1",160190575,160201886,"CASQ1"
"340","1",115700021,115768714,"CASQ2"
"341","1",10636604,10796650,"CASZ1"
"342","1",26190561,26202968,"CATSPER4"
"343","1",244454377,244641177,"CATSPERE"
"344","1",52345723,52366205,"CC2D1B"
"345","2",27625638,27629012,"CCDC121"
"346","2",74471986,74483408,"CCDC142"
"347","1",45493866,45500079,"CCDC163"
"348","1",45620044,45624057,"CCDC17"
"349","1",93179919,93278730,"CCDC18"
"350","1",169394870,169460669,"CCDC181"
"351","1",223393415,223395465,"CCDC185"
"352","1",162824458,162868761,"CCDC190"
"353","1",43991359,43996528,"CCDC24"
"354","1",3746460,3771645,"CCDC27"
"355","1",32200595,32205453,"CCDC28B"
"356","1",42463221,42657190,"CCDC30"
"357","2",56183990,56386172,"CCDC85A"
"358","2",55287842,55419895,"CCDC88A"
"359","1",85580761,85584589,"CCN1"
"360","1",1385711,1399335,"CCNL2"
"361","1",229321011,229343294,"CCSAP"
"362","1",156308968,156367873,"CCT3"
"363","2",61868085,61888671,"CCT4"
"364","2",73233420,73253021,"CCT7"
"365","1",147203276,147204932,"CCT8P1"
"366","1",117001750,117036552,"CD101"
"367","1",145719471,145739288,"CD160"
"368","1",27379176,27383333,"CD164L2"
"369","1",158254424,158258269,"CD1A"
"370","1",158327951,158331531,"CD1B"
"371","1",158289923,158294774,"CD1C"
"372","1",158178030,158186427,"CD1D"
"373","1",158353696,158357553,"CD1E"
"374","1",116754430,116769229,"CD2"
"375","2",70830211,70835816,"CD207"
"376","1",160830160,160862887,"CD244"
"377","1",167425027,167518640,"CD247"
"378","1",207880972,207911402,"CD34"
"379","1",207752037,207795513,"CD46"
"380","1",207645234,207657410,"CD46P1"
"381","1",160678746,160711831,"CD48"
"382","1",26317958,26320523,"CD52"
"383","1",110871188,110899922,"CD53"
"384","1",207321519,207386804,"CD55"
"385","1",116514534,116571039,"CD58"
"386","1",157830911,157898256,"CD5L"
"387","1",160541095,160579516,"CD84"
"388","2",86784610,86808396,"CD8A"
"389","2",86815339,86861924,"CD8B"
"390","1",20589086,20618903,"CDA"
"391","1",100345001,100520277,"CDC14A"
"392","1",43358981,43363203,"CDC20"
"393","1",22052627,22101360,"CDC42"
"394","1",226989865,227318492,"CDC42BPA"
"395","2",37641882,37738468,"CDC42EP3"
"396","1",151050971,151070325,"CDC42SE1"
"397","1",91500851,91525764,"CDC7"
"398","1",193121983,193254815,"CDC73"
"399","1",207658454,207659142,"CDCA4P3"
"400","1",37692481,37709719,"CDCA8"
"401","1",54132687,54153770,"CDCP2"
"402","1",1702379,1724357,"CDK11A"
"403","1",1635225,1659012,"CDK11B"
"404","1",205504596,205532793,"CDK18"
"405","1",105433994,105434821,"CDK4P1"
"406","2",11665369,11665969,"CDK8P1"
"407","2",39168045,39243983,"CDKL4"
"408","1",50960745,50974634,"CDKN2C"
"409","2",37201612,37231596,"CEBPZ"
"410","2",37196488,37216193,"CEBPZOS"
"411","1",15456728,15472091,"CELA2A"
"412","1",15465909,15491395,"CELA2B"
"413","1",22001657,22012542,"CELA3A"
"414","1",21977022,21998642,"CELA3B"
"415","1",151700058,151716803,"CELF3"
"416","1",109249539,109275751,"CELSR2"
"417","2",26764289,26801067,"CENPA"
"418","1",214603195,214664571,"CENPF"
"419","1",173799550,173824883,"CENPL"
"420","2",87221113,87222488,"CENPNP1"
"421","2",24793136,24822376,"CENPO"
"422","1",10430433,10442808,"CENPS"
"423","1",3812086,3857396,"CEP104"
"424","CHR_HSCHR1_3_CTG32_1",243124428,243255321,"CEP170"
"425","1",243124428,243255348,"CEP170"
"426","1",179954674,180114880,"CEP350"
"427","2",65056354,65087004,"CEP68"
"428","1",26234200,26278808,"CEP85"
"429","1",111139479,111185104,"CEPT1"
"430","1",150960583,150975003,"CERS2"
"431","1",12746200,12763699,"CFAP107"
"432","1",161364733,161367876,"CFAP126"
"433","1",154199085,154206333,"CFAP141"
"434","1",109105951,109113857,"CFAP276"
"435","2",55519604,55545079,"CFAP36"
"436","1",159872364,159900165,"CFAP45"
"437","1",43172330,43254358,"CFAP57"
"438","1",1921951,2003837,"CFAP74"
"439","1",196651754,196752476,"CFH"
"440","1",196819731,196837159,"CFHR1"
"441","1",196943738,196959622,"CFHR2"
"442","1",196774813,196795407,"CFHR3"
"443","1",196888014,196918795,"CFHR4"
"444","1",196975010,197009678,"CFHR5"
"445","1",151510510,151538692,"CGN"
"446","2",27098889,27119128,"CGREF1"
"447","2",53767804,53775196,"CHAC2"
"448","1",93921268,93921667,"CHCHD2P5"
"449","1",246178778,246179204,"CHCHD4P5"
"450","1",147242654,147295765,"CHD1L"
"451","1",6101787,6180321,"CHD5"
"452","1",203178931,203186704,"CHI3L1"
"453","1",111200771,111243440,"CHI3L2"
"454","1",111290851,111320566,"CHIA"
"455","1",111250254,111256715,"CHIAP1"
"456","1",111280060,111286043,"CHIAP2"
"457","1",203212827,203273641,"CHIT1"
"458","1",241628851,241640369,"CHML"
"459","1",27686810,27687471,"CHMP1AP1"
"460","2",86503430,86563479,"CHMP3"
"461","1",239386565,239915452,"CHRM3"
"462","1",154567778,154580013,"CHRNB2"
"463","1",153633982,153646306,"CHTOP"
"464","2",96266159,96274173,"CIAO1"
"465","1",150282543,150287093,"CIART"
"466","2",26581205,26641366,"CIB4"
"467","1",243049782,243051619,"CICP21"
"468","1",131025,134836,"CICP27"
"469","1",40861054,40862363,"CITED4"
"470","1",154974653,154979251,"CKS1B"
"471","1",86468368,86500259,"CLCA1"
"472","1",86424171,86456553,"CLCA2"
"473","1",86634276,86654745,"CLCA3P"
"474","1",86547078,86580754,"CLCA4"
"475","1",108881885,108963527,"CLCC1"
"476","1",11806096,11848079,"CLCN6"
"477","1",16018875,16034050,"CLCNKA"
"478","1",16040252,16057311,"CLCNKB"
"479","1",42733093,42740254,"CLDN19"
"480","1",178479240,178499634,"CLEC20A"
"481","2",70808643,70820599,"CLEC4F"
"482","2",55172547,55232563,"CLHC1"
"483","1",24745382,24844321,"CLIC4"
"484","2",29097705,29199777,"CLIP4"
"485","CHR_HSCHR1_2_CTG31",155278272,155293895,"CLK2"
"486","1",155262868,155278491,"CLK2"
"487","1",189035961,189036444,"CLPTM1LP1"
"488","1",35720218,35769978,"CLSPN"
"489","1",9728926,9823984,"CLSTN1"
"490","1",47333790,47394866,"CMPK1"
"491","2",6840570,6866635,"CMPK2"
"492","2",98346188,98398601,"CNGA3"
"493","1",224434660,224740554,"CNIH3"
"494","1",224356858,224379459,"CNIH4"
"495","1",26177484,26189884,"CNKSR1"
"496","1",166796266,166797183,"CNN2P10"
"497","1",94896949,94927223,"CNN3"
"498","2",96816245,96835382,"CNNM3"
"499","2",96760902,96811874,"CNNM4"
"500","1",23870515,23913362,"CNR2"
"501","2",68284171,68320051,"CNRIP1"
"502","1",246566444,246668595,"CNST"
"503","1",205042937,205078289,"CNTN2"
"504","2",98599314,98608515,"COA5"
"505","1",234373456,234385080,"COA6"
"506","1",52684449,52698347,"COA7"
"507","1",230642481,230693982,"COG2"
"508","1",102876467,103108872,"COL11A1"
"509","1",31652263,31704319,"COL16A1"
"510","1",85729233,86156943,"COL24A1"
"511","1",36095239,36125222,"COL8A2"
"512","1",40300489,40317813,"COL9A2"
"513","2",3594832,3644644,"COLEC11"
"514","1",183929854,184037729,"COLGALT2"
"515","2",61888724,62147247,"COMMD1"
"516","1",175944831,176207286,"COP1"
"517","1",160288594,160343566,"COPA"
"518","1",226940286,226987544,"COQ8A"
"519","1",10450031,10451998,"CORT"
"520","1",244835616,244845057,"COX20"
"521","2",97646062,97648383,"COX5B"
"522","1",179255733,179256081,"COX5BP8"
"523","1",68282388,68282622,"COX6B1P7"
"524","1",65298755,65298980,"COX6CP13"
"525","2",42333546,42425088,"COX7A2L"
"526","1",16231692,16237183,"CPLANE2"
"527","2",9423651,9473101,"CPSF3"
"528","1",53196792,53214197,"CPT2"
"529","1",1324756,1328896,"CPTP"
"530","1",207496147,207641765,"CR1"
"531","1",207645113,207738416,"CR1L"
"532","1",207453024,207489895,"CR2"
"533","1",156699606,156705816,"CRABP2"
"534","2",98793846,98936259,"CRACDL"
"535","1",197268204,197478455,"CRB1"
"536","1",152514482,152516008,"CRCT1"
"537","1",153967534,153974361,"CREB3L4"
"538","1",167529117,167553805,"CREG1"
"539","CHR_HSCHR2_1_CTG5",36361959,36362656,"CRIM1"
"540","2",36355778,36551135,"CRIM1"
"541","1",202096759,202096978,"CRIP1P3"
"542","2",46616416,46630176,"CRIPT"
"543","1",152409243,152414263,"CRNN"
"544","1",16740273,16972964,"CROCC"
"545","1",16618969,16657232,"CROCCP2"
"546","1",16474396,16491307,"CROCCP3"
"547","1",16750233,16750964,"CROCCP4"
"548","1",159712289,159714589,"CRP"
"549","1",159704983,159705607,"CRPP1"
"550","2",52570648,52572522,"CRTC1P1"
"551","1",153947669,153958615,"CRTC2"
"552","1",26321698,26360080,"CRYBG2"
"553","2",51775258,51775402,"CRYGGP"
"554","1",74705482,74733408,"CRYZ"
"555","1",178006136,178037950,"CRYZL2P"
"556","1",114716913,114758676,"CSDE1"
"557","1",109910242,109930992,"CSF1"
"558","1",36466043,36483278,"CSF3R"
"559","1",33513998,34165842,"CSMD2"
"560","1",201483530,201509456,"CSRP1"
"561","1",84549611,84574480,"CTBS"
"562","1",70411218,70439851,"CTH"
"563","2",79185231,80648861,"CTNNA2"
"564","1",9848276,9910336,"CTNNBIP1"
"565","1",40979300,41012565,"CTPS1"
"566","1",15438442,15449242,"CTRC"
"567","1",206008535,206023909,"CTSE"
"568","1",150794880,150809577,"CTSK"
"569","1",150730079,150765957,"CTSS"
"570","1",112396214,112463456,"CTTNBP2NL"
"571","1",150887136,150913292,"CTXND2"
"572","1",109494052,109502932,"CYB561D1"
"573","1",202961873,202967275,"CYB5R1"
"574","1",54169651,54200036,"CYB5RL"
"575","1",244598391,244598687,"CYCSP5"
"576","1",157128362,157128671,"CYCSP52"
"577","1",171444699,171444963,"CYCSP53"
"578","1",110480752,110491277,"CYMP"
"579","2",38066973,38109902,"CYP1B1"
"580","2",72129238,72147862,"CYP26B1"
"581","1",59893308,59926773,"CYP2J2"
"582","1",46929177,46941484,"CYP4A11"
"583","1",47137435,47149727,"CYP4A22"
"584","1",47000898,47001087,"CYP4A27P"
"585","1",46994382,46994502,"CYP4A43P"
"586","1",47002995,47003148,"CYP4A44P"
"587","1",46757838,46819413,"CYP4B1"
"588","2",94759259,94760279,"CYP4F32P"
"589","1",47023669,47050751,"CYP4X1"
"590","1",47067231,47118318,"CYP4Z1"
"591","1",46843178,46900434,"CYP4Z2P"
"592","1",46843095,46900437,"CYP4Z2P"
"593","2",16549459,16666331,"CYRIA"
"594","2",10056473,10080944,"CYS1"
"595","2",87454781,87636740,"CYTOR"
"596","1",53214099,53220634,"CZIB"
"597","1",56994778,58546734,"DAB1"
"598","1",155687960,155739010,"DAP3"
"599","1",173824653,173858808,"DARS2"
"600","2",87301658,87302251,"DBF4P3"
"601","2",63117851,63119542,"DBIL5P2"
"602","1",100186919,100249834,"DBT"
"603","1",167935783,168075843,"DCAF6"
"604","1",160215715,160262549,"DCAF8"
"605","1",32209089,32216192,"DCDC2B"
"606","2",3703575,3848008,"DCDC2C"
"607","1",113904619,113914086,"DCLRE1B"
"608","1",155033824,155050930,"DCST1"
"609","1",155018520,155033781,"DCST2"
"610","2",74361154,74392087,"DCTN1"
"611","1",85318481,85578363,"DDAH1"
"612","1",15617458,15669044,"DDI2"
"613","1",20651767,20661544,"DDOST"
"614","1",162631373,162787405,"DDR2"
"615","2",15591178,15634346,"DDX1"
"616","2",113599036,113601261,"DDX11L2"
"617","1",111754832,111775602,"DDX20"
"618","1",200623896,200669907,"DDX59"
"619","1",161120974,161132688,"DEDD"
"620","1",224175756,224193441,"DEGS1"
"621","1",197504748,197775696,"DENND1B"
"622","1",114582848,114670422,"DENND2C"
"623","1",111185969,111204535,"DENND2D"
"624","1",153929501,153946718,"DENND4B"
"625","1",68474152,68497221,"DEPDC1"
"626","1",244653103,244709033,"DESI2"
"627","1",10456522,10472529,"DFFA"
"628","1",3857267,3885429,"DFFB"
"629","2",73926826,73958961,"DGUOK"
"630","1",54849627,54887195,"DHCR24"
"631","1",26432282,26471306,"DHDDS"
"632","1",12567910,12618210,"DHRS3"
"633","2",38797729,38875934,"DHX57"
"634","1",182839347,182887982,"DHX9"
"635","1",53891239,53911086,"DIO1"
"636","1",92832737,92961522,"DIPK1A"
"637","1",68045886,68051717,"DIRAS3"
"638","1",231626790,232041272,"DISC1"
"639","1",222815022,223005995,"DISP1"
"640","1",11479155,11537551,"DISP3"
"641","1",34865436,34929650,"DLGAP3"
"642","1",44213455,44220681,"DMAP1"
"643","1",46489836,46516216,"DMBX1"
"644","1",50417550,50423443,"DMRTA2"
"645","1",53459399,53467488,"DMRTB1"
"646","2",68122936,68157549,"DNAAF10"
"647","1",224896262,225399292,"DNAH14"
"648","2",84516455,84819589,"DNAH6"
"649","1",84999147,85133138,"DNAI3"
"650","1",66812885,66924856,"DNAI4"
"651","1",77979175,78017964,"DNAJB4"
