gene_symbol,meanTumor,meanControl,pvalue,log2FC
TAS1R3,0.113255275,0.275454357,0.443428377,-0.162199082
DVL1,5.703289813,5.866898833,0.094858085,-0.16360902
MIR6808,0,0,1,0
MXRA8,4.073725683,4.646367689,0.023755017,-0.572642006
AURKAIP1,6.285488311,6.674033666,0.011352296,-0.388545355
NDUFB4P8,0,0,1,0
CCNL2,6.588032193,6.838145276,0.020181079,-0.250113083
MRPL20-AS1,4.129470693,4.410418435,0.032299207,-0.280947743
MRPL20,5.398724573,5.618004464,0.08457379,-0.21927989
RN7SL657P,0,0,1,0
ANKRD65,0,0.144791757,0.053688968,-0.144791757
TMEM88B,0,0,1,0
VWA1,1.892072876,2.534179401,0.061078224,-0.642106524
ATAD3C,0.072904334,0.09204316,0.878816891,-0.019138826
ATAD3B,4.950715975,4.988088273,0.64942434,-0.037372299
ATAD3A,5.44708702,5.64776571,0.069626693,-0.200678691
TMEM240,1.628275126,1.972176556,0.445111448,-0.34390143
SSU72,6.762867098,6.678225154,0.275582134,0.084641943
FNDC10,3.475633691,3.712155234,0.234342025,-0.236521543
MIB2,5.158525718,5.481470993,0.026672719,-0.322945275
MMP23B,0.173421537,0.032677999,0.368268512,0.140743538
CDK11B,5.265364157,5.51549761,0.013461839,-0.250133453
SLC35E2B,6.215480921,6.048059404,0.099264758,0.167421517
MMP23A,0.214883181,0.09204316,0.63917657,0.12284002
CDK11A,0.429176675,1.190197833,0.102501014,-0.761021158
SLC35E2A,3.438526296,3.466254388,0.814717962,-0.027728091
NADK,6.031238965,5.972595422,0.429657861,0.058643543
GNB1,9.178414094,9.175554568,0.843551663,0.002859526
CALML6,0.072904334,0,0.422649731,0.072904334
TMEM52,0.746179994,1.05274438,0.218803606,-0.306564386
CFAP74,0.073585397,0.103025264,0.828673155,-0.029439867
GABRD,0.073585397,0.036849188,0.686104944,0.036736209
PRKCZ-DT,0,0,1,0
PRKCZ,4.440478644,4.940735075,0.010496482,-0.500256431
PRKCZ-AS1,0.728520363,0.771080218,0.842909146,-0.042559855
FAAP20,5.202424794,5.556523524,0.047863097,-0.354098731
SKI,7.068684625,6.980685467,0.050573207,0.087999158
MORN1,3.052131099,3.29896162,0.107273127,-0.246830521
LOC100129534,1.522614011,1.791395767,0.283850177,-0.268781755
RER1,7.035746385,7.142856297,0.216751241,-0.107109912
PEX10,4.810923798,5.128557094,0.014864599,-0.317633297
PLCH2,0,0,1,0
PANK4,4.062397989,4.404405929,0.00830392,-0.342007939
HES5,0,0,1,0
TNFRSF14,0.964111115,1.067467037,0.525089184,-0.103355922
LOC100996583,0,0,1,0
PRXL2B,3.039121941,2.922800873,0.272439213,0.116321069
MMEL1,0.037832386,0.036849188,0.986039005,0.000983198
TTC34,0,0,1,0
ACTRT2,0,0,1,0
PRDM16-DT,0,0,1,0
PRDM16,0.072904334,0.26911051,0.097098992,-0.196206176
MIR4251,0,0,1,0
ARHGEF16,1.895291805,2.356624321,0.16014101,-0.461332516
MEGF6,4.866972057,5.185977434,0.014178541,-0.319005377
MIR551A,0,0.036849188,0.422649731,-0.036849188
TPRG1L,5.728287879,5.589270904,0.158311998,0.139016975
WRAP73,4.159108273,4.17724433,0.878564007,-0.018136057
TP73,0.651412563,1.21771294,0.089554043,-0.566300377
TP73-AS1,5.359779731,5.606585906,0.087902198,-0.246806175
CCDC27,0,0,1,0
SMIM1,0.636274195,0.633130681,0.988054451,0.003143514
LRRC47,6.01329387,6.08170577,0.141648956,-0.0684119
RN7SL574P,0,0,1,0
CEP104,5.466297665,5.542272817,0.443527283,-0.075975152
DFFB,2.906559261,2.970394975,0.589329592,-0.063835715
C1orf174,4.900298933,4.693435036,0.056504329,0.206863897
LINC01134,0.29771867,0.447624601,0.529717055,-0.14990593
LINC01345,0,0,1,0
LINC02780,0,0,1,0
EEF1DP6,0,0,1,0
LINC01777,0,0,1,0
LINC01646,0,0,1,0
AJAP1,1.292917947,1.446265512,0.518831638,-0.153347565
LINC02781,0,0,1,0
LOC105376686,0,0,1,0
MIR4689,0,0,1,0
NPHP4,4.643725135,5.120569196,0.015225399,-0.476844061
KCNAB2,3.403023027,3.860949582,0.222909729,-0.457926555
CHD5,3.729277294,5.118103405,4.10E-05,-1.38882611
RPL22,8.090251893,7.993923387,0.033164147,0.096328506
RNF207-AS1,0.240394493,0.069527187,0.310112227,0.170867305
RNF207,4.077177802,4.27758064,0.049610704,-0.200402838
ICMT,8.104529021,7.947820892,0.000555419,0.15670813
HES3,0,0,1,0
GPR153,2.735159606,3.05750007,0.063169128,-0.322340464
ACOT7,6.261149363,6.621181858,0.011416453,-0.360032495
HES2,0.037224089,0.11569893,0.385531215,-0.078474841
ESPN,0.106545617,0.111527741,0.97082847,-0.004982124
MIR4252,0,0,1,0
TNFRSF25,2.179918276,2.733803711,0.081157821,-0.553885435
PLEKHG5,3.671169449,4.121428645,0.05535072,-0.450259196
NOL9,5.820287302,5.807580335,0.903421753,0.012706967
RNU6-731P,0,0,1,0
TAS1R1,0,0.078849742,0.422649731,-0.078849742
ZBTB48,3.873011527,4.139422167,0.210015275,-0.266410639
KLHL21,5.381523047,5.68345487,0.003030764,-0.301931823
PHF13,6.009271609,6.051547299,0.546507441,-0.04227569
THAP3,4.040982652,4.131509603,0.340708636,-0.09052695
DNAJC11,6.426953174,6.673157871,0.005686055,-0.246204697
CAMTA1,5.029540746,5.082063824,0.477795141,-0.052523078
RPL37P9,0,0,1,0
RNU1-8P,0,0,1,0
CAMTA1-AS2,0,0,1,0
VAMP3,7.562890669,7.298698526,0.043602785,0.264192143
PER3,6.004040938,5.726170303,0.072642442,0.277870635
UTS2,0,0,1,0
TNFRSF9,5.28438307,5.812196542,0.001399902,-0.527813472
PARK7,7.530641518,7.756936734,0.003820011,-0.226295216
ERRFI1,6.008307254,6.097870447,0.02377821,-0.089563193
ERRFI1-DT,0.0381988,0.113902984,0.582496288,-0.075704184
LOC100129776,0,0,1,0
LINC01714,0.076031186,0.181875006,0.379862507,-0.10584382
RNU1-7P,0,0,1,0
RNU6-991P,0,0,1,0
SLC45A1,1.614474429,1.628556959,0.904407758,-0.014082529
RERE,7.224974877,7.294641312,0.387442861,-0.069666436
RPL7P11,0,0.041039123,0.422649731,-0.041039123
RPL7P7,0,0.104315174,0.201445685,-0.104315174
RPL27P3,0,0,1,0
ENO1,11.50110669,11.75666286,0.003266874,-0.255556177
MIR6728,0.037832386,0.177179034,0.292941421,-0.139346648
ENO1-AS1,0.075056475,0.032677999,0.443275085,0.042378476
RNU6-304P,0,0,1,0
CA6,0,0,1,0
RN7SL451P,0,0,1,0
SLC2A7,0,0,1,0
SLC2A5,1.231331226,1.592960277,0.267157202,-0.361629051
GPR157,3.240204651,3.20171317,0.845128296,0.038491482
MIR34AHG,1.056289509,0.948523162,0.655024052,0.107766347
MIR34A,0,0,1,0
LNCTAM34A,0.303628265,0.24824024,0.860782842,0.055388025
H6PD,5.539537559,5.682543146,0.053150064,-0.143005587
SPSB1,4.928945144,5.081805906,0.165822402,-0.152860762
LINC02606,0.533718118,0.563020913,0.873534739,-0.029302795
RNA5SP40,0,0,1,0
SLC25A33,3.595016934,3.206379424,0.10447152,0.38863751
RPL9P11,0.075422889,0.312868868,0.191229722,-0.237445979
TMEM201,5.242247827,5.40637303,0.281936654,-0.164125203
PIK3CD,6.714378137,7.062948998,0.009017195,-0.348570861
PIK3CD-AS1,0,0,1,0
PIK3CD-AS2,0.860623483,0.830861435,0.68454729,0.029762049
CLSTN1,8.67922501,8.904939312,0.001015442,-0.225714302
CTNNBIP1,4.62044714,4.612737544,0.952451586,0.007709596
LZIC,5.456714104,5.099697669,0.00341229,0.357016435
NMNAT1,3.474253941,3.60689036,0.62500559,-0.132636419
TMEM274P,0,0,1,0
MIR5697,0.037832386,0,0.422649731,0.037832386
RBP7,3.178151261,3.352944755,0.168713822,-0.174793494
UBE4B,6.939715165,6.848625623,0.034661977,0.091089542
RPL21P21,0,0,1,0
PGAM1P11,0.0381988,0.036849188,0.980932958,0.001349612
RNU6-828P,0,0.112113758,0.211315581,-0.112113758
KIF1B,7.62081307,7.583001746,0.425934496,0.037811324
RNU6-37P,0.105591426,0.032677999,0.567619574,0.072913427
RN7SL731P,0,0,1,0
PGD,7.444876687,7.599452522,0.070759748,-0.154575836
CENPS-CORT,0,0,1,0
CENPS,1.315416528,0.835817825,0.089620853,0.479598703
CORT,0.037832386,0.135703263,0.402701639,-0.097870877
DFFA,7.133029002,7.044123078,0.235168443,0.088905924
PEX14,5.101366182,5.248285559,0.105134914,-0.146919377
RN7SL614P,0.0381988,0.073717122,0.543606137,-0.035518322
CASZ1,3.568087484,3.696480764,0.038556281,-0.12839328
HSPE1P24,0,0,1,0
C1orf127,0,0,1,0
TARDBP,6.931066092,6.56134525,0.002914435,0.369720842
MASP2,0.037832386,0,0.422649731,0.037832386
SRM,6.256056131,6.304067025,0.604664402,-0.048010895
EXOSC10,6.864095718,7.025676489,0.002278539,-0.161580771
EXOSC10-AS1,0.52131802,0.791832375,0.152569513,-0.270514355
MTOR,7.693147992,7.89902994,0.010173192,-0.205881948
MTOR-AS1,0,0.078849742,0.422649731,-0.078849742
ANGPTL7,0,0,1,0
RNU6-291P,0,0,1,0
UBIAD1,5.227705343,5.301309554,0.446928342,-0.073604211
MTCYBP45,0,0,1,0
DISP3,0.363863386,0.49316886,0.595546103,-0.129305474
LINC01647,0.0381988,0.036849188,0.980932958,0.001349612
FBXO2,2.379844456,2.610332174,0.396769297,-0.230487717
FBXO44,3.896997483,3.731938255,0.265915674,0.165059229
FBXO6,1.616085594,1.296925662,0.155528524,0.319159933
MAD2L2,5.777533777,6.124050296,0.009713222,-0.346516519
DRAXIN,0.484328694,0.945839587,0.0467025,-0.461510893
AGTRAP,4.731578578,4.920414407,0.094180966,-0.188835828
C1orf167,0,0.160225257,0.26613761,-0.160225257
C1orf167-AS1,0,0,1,0
MTHFR,4.075366792,4.428127378,0.023963848,-0.352760587
CLCN6,4.774871942,4.801130006,0.802147965,-0.026258064
NPPA,0,0,1,0
NPPB,6.077109125,5.904678193,0.178305545,0.172430932
SBF1P2,0,0,1,0
RNU5E-1,0,0,1,0
RNU5E-4P,0.144677027,0,0.183528395,0.144677027
KIAA2013,5.966586838,6.072365962,0.087940805,-0.105779124
PLOD1,7.743958591,8.108640116,0.006460866,-0.364681525
MFN2,8.02531472,8.052970762,0.449010788,-0.027656042
MIIP,3.95447578,4.278808524,0.148700016,-0.324332744
MIR6729,0,0,1,0
RN7SL649P,0,0,1,0
TNFRSF8,4.742010696,4.080097029,0.009431402,0.661913667
RNU6-777P,0,0,1,0
RPL23AP89,0,0,1,0
MIR7846,0,0,1,0
TNFRSF1B,4.41049185,4.7655291,0.079168542,-0.355037251
MIR4632,0,0,1,0
RPL10P17,0,0,1,0
VPS13D,7.030111616,7.206598783,0.090569287,-0.176487167
SNORA59B,0.262008988,0.077888311,0.556244066,0.184120677
DHRS3,6.742149042,6.699402213,0.099617472,0.042746829
RNU6ATAC18P,0.339798072,0.412030775,0.793418531,-0.072232702
MIR6730,0,0,1,0
AADACL4,0,0,1,0
AADACL3,0,0,1,0
CFAP107,0,0,1,0
PRAMEF12,0,0,1,0
PRAMEF1,0,0,1,0
LINC01784,0,0,1,0
PRAMEF11,0,0,1,0
HNRNPCL1,0,0,1,0
PRAMEF2,0,0,1,0
PRAMEF4,0,0,1,0
PRAMEF10,0,0,1,0
PRAMEF7,0,0,1,0
RNU6-1072P,0,0,1,0
PRAMEF6,0,0,1,0
PRAMEF28P,0,0,1,0
PRAMEF27,0,0,1,0
HNRNPCL3,0,0,1,0
PRAMEF25,0,0,1,0
PRAMEF35P,0,0,1,0
HNRNPCL2,0,0,1,0
PRAMEF26,0,0,1,0
HNRNPCL4,0,0,1,0
PRAMEF9,0,0,1,0
PRAMEF13,0,0,1,0
PRAMEF18,0,0,1,0
PRAMEF31P,0,0,1,0
PRAMEF5,0,0,1,0
RNU6-771P,0,0,1,0
PRAMEF8,0,0,1,0
PRAMEF33,0,0,1,0
PRAMEF15,0,0,1,0
PRAMEF14,0,0,1,0
PRAMEF19,0,0,1,0
PRAMEF17,0,0,1,0
PRAMEF20,0,0,1,0
LRRC38,0.109971493,0,0.21908566,0.109971493
PDPN,6.592818293,6.408587159,0.006705472,0.184231135
RNA5SP41,0,0,1,0
PRDM2,5.504567525,5.596407307,0.148918016,-0.091839782
KAZN,3.975047872,3.763480494,0.242657101,0.211567378
RNU6-1265P,0,0,1,0
KAZN-AS1,0,0.113902984,0.422649731,-0.113902984
TMEM51-AS1,0.0381988,0.246692792,0.27825838,-0.208493992
TMEM51,4.40980268,4.55973423,0.486767583,-0.14993155
TMEM51-AS2,0,0,1,0
FHAD1,0.313661465,1.247073652,0.011157918,-0.933412188
FHAD1-AS1,0,0.112113758,0.211315581,-0.112113758
EFHD2,6.559212628,6.756633397,0.041062943,-0.197420769
CTRC,0.0381988,0,0.422649731,0.0381988
CELA2A,0,0,1,0
CELA2B,0,0.071074635,0.422649731,-0.071074635
CASP9,3.617260309,3.766893101,0.248257792,-0.149632793
DNAJC16,5.004225053,5.009188487,0.94872866,-0.004963434
SCARNA21B,0.0381988,0.069527187,0.578016301,-0.031328387
AGMAT,1.16153233,1.483547143,0.119911306,-0.322014812
RNU7-179P,0,0,1,0
DDI2,5.779080015,5.803248637,0.828561453,-0.024168622
RSC1A1,0,0,1,0
PLEKHM2,6.656342995,6.741719612,0.1017285,-0.085376617
SLC25A34,0.411701341,0.292141155,0.659087851,0.119560186
SLC25A34-AS1,0.142815514,0.535317685,0.037308477,-0.392502171
TMEM82,0,0,1,0
FBLIM1,6.416484845,6.87693215,0.000223418,-0.460447304
UQCRHL,2.101083111,2.060837349,0.785157313,0.040245762
RPS16P1,1.177057157,1.355256403,0.539475051,-0.178199246
FLJ37453,2.031169517,2.229606509,0.530775112,-0.198436992
SPEN,7.524757728,7.692001804,0.102205995,-0.167244076
ZBTB17,4.674595578,4.951781323,0.100309898,-0.277185745
SRARP,0,0,1,0
HSPB7,0,0,1,0
CLCNKA,0.109971493,0.032677999,0.351031856,0.077293494
CLCNKB,0.073585397,0.386916224,0.055444353,-0.313330827
FAM131C,0.723802641,0.813632062,0.422573445,-0.089829421
EPHA2,6.881680533,7.040061618,0.016618955,-0.158381085
ARHGEF19,3.102401242,3.822989445,0.013023068,-0.720588202
CPLANE2,2.142455276,2.021485252,0.608411371,0.120970023
FBXO42,5.276427334,5.49938476,0.015462768,-0.222957425
SZRD1,8.186120654,8.133939463,0.36096888,0.05218119
RPL22P3,0.110128423,0.071074635,0.702559504,0.039053788
SPATA21,0.337478938,0.557861228,0.314460689,-0.22038229
NECAP2,6.326905403,6.548184048,0.024247678,-0.221278645
LINC01772,0.627602826,0.694557967,0.785235358,-0.066955141
CROCCP3,1.942682706,2.344294057,0.198410976,-0.401611351
RNU1-1,0,0,1,0
LINC01783,0.073585397,0.069527187,0.963543545,0.00405821
RNU1-6P,0,0,1,0
NBPF1,5.673632674,5.725052272,0.597605149,-0.051419598
CROCCP2,4.54146752,4.684411768,0.063847126,-0.142944248
RNU1-3,0,0,1,0
CROCC,4.155766892,3.844255322,0.252959473,0.311511571
CROCCP4,0,0,1,0
RNU1-4,0,0,1,0
MST1L,0.037832386,0.149924377,0.276802672,-0.112091991
MIR3675,0,0,1,0
LOC112267871,0,0.119186133,0.422649731,-0.119186133
RNU1-5P,0,0,1,0
LOC105376805,1.219002624,1.480038796,0.509124063,-0.261036172
RNU1-2,0.075056475,0,0.183530233,0.075056475
MFAP2,3.636538887,4.570550867,0.01191857,-0.93401198
ATP13A2,5.439775691,5.680339829,0.022711739,-0.240564138
SDHB,6.470831411,6.472959743,0.960249856,-0.002128333
PADI2,1.009941386,0.996224508,0.947871723,0.013716878
LINC02783,0.0381988,0.160225257,0.367599153,-0.122026456
PADI1,0.406179474,0.319192138,0.478054304,0.086987336
PADI3,0.180035944,0.665069502,0.010629979,-0.485033559
MIR3972,0,0,1,0
PADI4,0.0381988,0.071074635,0.710466695,-0.032875834
PADI6,0,0,1,0
RCC2-AS1,0,0,1,0
RCC2,5.895509375,6.146302354,0.0105345,-0.250792979
ARHGEF10L,2.719321979,3.654104773,0.005225517,-0.934782794
LINC02810,0,0,1,0
ACTL8,0.134211513,0,0.422649731,0.134211513
LINC01654,0,0,1,0
IGSF21,0,0,1,0
KLHDC7A,0.0381988,0.032677999,0.917958385,0.005520801
PAX7,0,0,1,0
TAS1R2,0,0,1,0
ALDH4A1,4.002655048,4.243955123,0.099358109,-0.241300075
MIR4695,0,0,1,0
MIR1290,0,0,1,0
IFFO2,4.299378535,4.348380774,0.819413441,-0.049002239
UBR4,8.68917028,9.029209499,0.001817444,-0.340039219
EMC1-AS1,0.542801209,0.842762094,0.149443736,-0.299960885
EMC1,7.661161795,7.831796555,0.070045333,-0.17063476
MRTO4,6.099353519,6.337211852,0.016929159,-0.237858332
AKR7L,0.174615048,0.432270688,0.214869596,-0.25765564
AKR7A3,0.250494489,0.398727923,0.484293165,-0.148233434
AKR7A2,5.426682323,5.604312247,0.082163901,-0.177629924
RNU6-1099P,0.072904334,0.078849742,0.958519353,-0.005945408
SLC66A1,3.995991157,4.411188203,0.02358973,-0.415197046
CAPZB,8.170154246,8.349541875,0.071610075,-0.179387629
RNU4-28P,0,0,1,0
MICOS10-DT,0,0,1,0
MICOS10,2.510166761,2.349499781,0.333290946,0.16066698
NBL1,5.825846935,6.051797647,0.005172768,-0.225950712
HTR6,0.037224089,0.041039123,0.948438835,-0.003815034
TMCO4,3.808168413,4.289031877,0.00042932,-0.480863464
RNF186,0,0,1,0
RNF186-AS1,0,0,1,0
OTUD3,4.350012562,4.250721531,0.620347606,0.099291031
PLA2G2E,0,0,1,0
RN7SL304P,0,0,1,0
PLA2G2A,0,0,1,0
PLA2G5,0,0,1,0
PLA2G2D,0,0,1,0
PLA2G2F,0,0,1,0
LOC117779438,0,0,1,0
PLA2G2C,0,0,1,0
UBXN10,0,0.073717122,0.18870519,-0.073717122
LINC01757,0,0,1,0
VWA5B1,0,0.032677999,0.422649731,-0.032677999
CAMK2N1,3.712135654,3.949349486,0.051414718,-0.237213832
MUL1,5.356175496,5.617193552,0.028814378,-0.261018056
RPS4XP4,0,0,1,0
FAM43B,0.565950183,0.30817841,0.246731939,0.257771773
CDA,0.806686958,1.619276472,0.017230267,-0.812589513
PINK1,6.273113588,6.543850313,0.010322372,-0.270736725
MIR6084,0,0,1,0
PINK1-AS,4.056379541,3.855409589,0.27191473,0.200969952
DDOST,8.204221319,8.444606568,0.000564434,-0.240385249
KIF17,1.378969824,1.666574658,0.01861092,-0.287604834
SH2D5,3.652190356,3.685779656,0.834555672,-0.0335893
HP1BP3,8.259056348,8.185364296,0.198317117,0.073692052
EIF4G3,7.500259656,7.61194281,0.038966236,-0.111683153
RNU7-200P,0,0,1,0
MIR1256,0.037224089,0,0.422649731,0.037224089
RPS15AP6,0.0381988,0,0.422649731,0.0381988
HSPE1P27,0,0,1,0
ECE1,8.333529913,8.654001055,0.000570552,-0.320471142
ECE1-AS1,0,0.132984717,0.422649731,-0.132984717
NBPF3,4.919418226,4.694527202,0.033269704,0.224891023
ALPL,1.298865349,1.311514117,0.9751859,-0.012648768
RAP1GAP,2.062483596,2.081385574,0.934060825,-0.018901978
USP48,6.682312616,6.491901056,0.0546447,0.19041156
LDLRAD2,0.395721473,0.62602248,0.245735584,-0.230301007
HSPG2,7.920023195,8.335868552,0.006319039,-0.415845357
RPL21P29,0.037832386,0,0.422649731,0.037832386
CELA3B,0,0,1,0
RN7SL386P,0,0,1,0
RNU6-1022P,0,0,1,0
CELA3A,0,0,1,0
RN7SL186P,0,0,1,0
RNU6-776P,0,0,1,0
LINC01635,0,0,1,0
LINC00339,2.189236874,2.551493404,0.116356981,-0.36225653
CDC42,8.560100737,8.238578345,0.003991253,0.321522392
WNT4,1.078630592,1.473751173,0.415495977,-0.395120581
MIR4418,0,0,1,0
ZBTB40,5.422585926,5.587894394,0.157735167,-0.165308469
EPHA8,0,0,1,0
MIR6127,0,0,1,0
C1QA,0,0,1,0
C1QC,0,0,1,0
C1QB,0,0,1,0
EPHB2,6.368487103,6.755578792,0.008728247,-0.387091689
MIR4684,0,0,1,0
MIR4253,0,0,1,0
LACTBL1,0,0,1,0
TEX46,0.075056475,0,0.183530233,0.075056475
KDM1A,7.377652386,7.45510114,0.08707617,-0.077448754
MIR3115,0.037832386,0,0.422649731,0.037832386
LUZP1,7.277541386,7.441174894,0.070605884,-0.163633508
RNU6-514P,0,0,1,0
RNU6-135P,0,0,1,0
HTR1D,3.60313757,3.782585863,0.071852244,-0.179448293
HNRNPR,6.942647546,6.819521376,0.038026092,0.123126171
ZNF436,0.922529015,0.790020535,0.753347579,0.13250848
ZNF436-AS1,0,0.032677999,0.422649731,-0.032677999
TCEA3,2.799291133,3.452731326,0.058568514,-0.653440194
ASAP3,4.202990828,4.678023207,0.007092543,-0.475032379
E2F2,1.779217983,2.08827871,0.081252317,-0.309060726
ID3,3.496726808,3.718011999,0.425927753,-0.221285192
MDS2,0,0,1,0
RPL11,9.030549391,9.248886923,0.017571608,-0.218337532
ELOA,6.664801755,6.701247947,0.331786918,-0.036446192
ELOA-AS1,1.028025137,1.288313397,0.246345479,-0.26028826
PITHD1,5.45695919,5.35928256,0.209857297,0.09767663
LYPLA2,5.585776325,5.704580422,0.128071107,-0.118804096
GALE,4.675611451,5.218335531,0.013159329,-0.54272408
HMGCL,3.980977427,4.411254242,0.017079441,-0.430276815
FUCA1,4.794153463,4.60193343,0.063682343,0.192220033
CNR2,0.037224089,0,0.422649731,0.037224089
MIR378F,0,0,1,0
H3P1,0,0,1,0
PNRC2,6.589469333,6.142583769,0.025334017,0.446885564
SRSF10,7.39237017,6.931155212,0.004305225,0.461214958
MYOM3,0.075422889,0.246887701,0.300791413,-0.171464812
IL22RA1,1.743776211,2.313516838,0.070520106,-0.569740627
IFNLR1,2.878339066,3.234553035,0.025836374,-0.356213969
LINC02800,0,0,1,0
GRHL3,0.283909736,0.148376929,0.076625764,0.135532806
STPG1,3.587562421,3.285528764,0.048350357,0.302033656
NIPAL3,6.172065125,6.195509842,0.490392508,-0.023444718
RCAN3,5.037708684,4.724168129,0.037493499,0.313540555
NCMAP,0.037224089,0,0.422649731,0.037224089
RPL26P8,0,0,1,0
SRRM1,6.950986688,6.817027479,0.06359463,0.133959209
CLIC4,10.40019551,9.50668086,2.50E-05,0.893514648
RNU6-1208P,0,0,1,0
RUNX3,0.40537557,0.366073835,0.511263864,0.039301735
MIR6731,0,0,1,0
MIR4425,0,0,1,0
SYF2,5.232050757,5.035784056,0.122669356,0.196266701
RSRP1,5.364010788,5.300570159,0.408244576,0.063440629
RHD,0,0.103025264,0.422649731,-0.103025264
TMEM50A,7.360474636,7.222153255,0.092488704,0.138321381
RHCE,0.110809486,0.193864682,0.64442857,-0.083055196
MACO1,4.760939838,4.663245265,0.480009539,0.097694574
LDLRAP1,5.170826238,5.215354008,0.622978777,-0.04452777
MAN1C1,1.204869444,1.40396715,0.465304079,-0.199097706
SELENON,6.397384072,6.451275708,0.327958206,-0.053891636
MTFR1L,5.086467696,5.138355548,0.224954217,-0.051887852
AUNIP,4.005117065,3.87900086,0.127596418,0.126116204
PAQR7,4.098199723,4.308064424,0.110617048,-0.209864701
STMN1,9.043053051,8.97075907,0.122775193,0.072293981
MIR3917,0,0,1,0
PAFAH2,3.69689266,3.811239763,0.525736,-0.114347103
RNU6-110P,0,0,1,0
EXTL1,0.26822393,0.755072807,0.060297503,-0.486848877
SLC30A2,1.062487645,1.555574034,0.005547865,-0.493086389
TRIM63,0.071772693,0.036849188,0.694471717,0.034923504
PDIK1L,4.008879553,3.641171943,0.091581644,0.36770761
FAM110D,0.209596183,0.204156918,0.965202542,0.005439265
C1orf232,0,0,1,0
ZNF593,3.869872199,4.152161289,0.124846261,-0.282289091
CNKSR1,0.404845664,0.611610869,0.481895801,-0.206765205
CATSPER4,0,0,1,0
ZPLD2P,0,0.367132827,0.026692979,-0.367132827
CEP85,5.647818572,5.901827632,0.004395811,-0.25400906
MRPS6P1,0,0,1,0
SH3BGRL3,7.10640962,7.558045872,0.000674081,-0.451636252
UBXN11,4.353744329,4.698679985,0.033359806,-0.344935656
CD52,0.0381988,0.20774209,0.058228257,-0.16954329
CRYBG2,1.453905899,1.617071573,0.535954704,-0.163165674
RPL34P4,0.0381988,0,0.422649731,0.0381988
ZNF683,0,0,1,0
LIN28A,0,0.032677999,0.422649731,-0.032677999
